policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-11156,,N,N,IF,S,I,,2024-08-07,2024-08-11,2025-08-10,,AG1136,SM1016,MEMBER-001228,MEMBER-006910,,,,2220609.44,136479.07,Y,136479.07,,,No,2,1243699.64,No,9529931210,Rural,,,,IND,POL-11156,UIN-893,Plan C,TERM_LIFE
POL-12577,,N,N,IF,S,I,,2024-08-08,2024-08-11,2025-08-10,,AG1074,SM1002,MEMBER-006435,MEMBER-006022,MEMBER-001882,MEMBER-006555,MEMBER-006387,2448420.05,104480.24,H,52240.12,,,No,5,1488013.8,No,9040060051,Urban,,,,IND,POL-12577,UIN-963,Plan C,CRITICAL_ILLNESS
POL-18579,,N,N,XP,S,I,,2024-08-03,2024-08-07,2025-08-06,,AG1022,SM1010,MEMBER-001354,,,,,850178.61,44600.79,Q,44600.79,,,No,1,504220.38,No,9264841948,Rural,,,,DIR,POL-18579,UIN-797,Plan C,GROUP_HEALTH
POL-12465,POL-11936,N,Y,IF,S,I,,2024-08-01,2024-08-03,2025-08-02,,AG1015,SM1040,MEMBER-006857,MEMBER-004089,MEMBER-006501,,,124617.8,8353.01,H,8353.01,2024-08-03,,No,3,97596.94,No,9682488170,Urban,116863.44,,2024-08-02,IND,POL-11936,UIN-674,Plan A,FAMILY_HEALTH_OPTIMA
POL-13309,,N,N,IF,S,I,,2024-08-09,2024-08-13,2025-08-12,,AG1137,SM1049,MEMBER-001400,MEMBER-002277,MEMBER-002338,,,465418.58,6498.28,H,3249.14,,,No,3,277618.36,No,9482352662,Rural,,,,IND,POL-13309,UIN-512,Plan C,TERM_LIFE
POL-11281,POL-10621,Y,N,IF,S,I,,2024-08-11,2024-08-13,2025-08-12,,AG1133,SM1023,MEMBER-004645,MEMBER-006541,,,,105020.58,3345.82,Y,3345.82,,,No,2,83325.06,No,9619393675,Rural,78127.66,2024-08-13,2024-08-12,DIR,POL-10621,UIN-665,Plan A,PERSONAL_ACCIDENT
POL-10605,,N,N,IF,S,I,,2024-08-01,2024-08-06,2025-08-05,,AG1036,SM1046,MEMBER-004929,,,,,1453193.8,58027.55,H,58027.55,,2025-01-28,Yes,1,862026.25,No,9434959530,Rural,,,,IND,POL-10605,UIN-373,Plan A,IND_HEALTH
POL-17750,,N,N,IF,S,I,,2024-08-06,2024-08-10,2025-08-09,,AG1148,SM1043,MEMBER-005219,MEMBER-005627,MEMBER-000659,MEMBER-001866,,1155325.96,46333.17,Q,11583.29,,,No,4,770591.51,No,9657879645,Urban,,,,SPP,POL-17750,UIN-106,Plan C,CRITICAL_ILLNESS
POL-15595,POL-15861,Y,N,IF,S,I,,2024-08-07,2024-08-07,2025-08-06,,AG1002,SM1014,MEMBER-002045,MEMBER-004817,MEMBER-000491,MEMBER-001003,MEMBER-006193,2065330.81,150199.76,Q,112649.82,,,No,5,1132241.87,No,9756090075,Rural,1767247.2,2024-08-07,2024-08-06,IOC,POL-15861,UIN-792,Plan A,IND_HEALTH
POL-13265,POL-19148,N,Y,IF,S,I,,2024-08-12,2024-08-14,2025-08-13,,AG1137,SM1026,MEMBER-003360,MEMBER-002321,MEMBER-001846,MEMBER-001541,MEMBER-004743,2316759.93,225304.36,M,56326.09,2024-08-14,,No,5,1229032.54,No,9855331079,Rural,1965745.18,,2024-08-13,IND,POL-19148,UIN-947,Plan B,TERM_LIFE
POL-12584,,N,N,IF,S,I,,2024-08-06,2024-08-09,2025-08-08,,AG1033,SM1013,MEMBER-001381,,,,,1352374.35,113394.41,Y,113394.41,,,No,1,913763.36,No,9016873487,Urban,,,,DIR,POL-12584,UIN-961,Plan C,CRITICAL_ILLNESS
POL-17846,POL-15714,Y,N,IF,S,I,,2024-08-12,2024-08-12,2025-08-11,,AG1027,SM1022,MEMBER-003034,MEMBER-001658,MEMBER-005911,,,1033953.23,41274.9,Y,41274.9,,,No,3,634838.56,No,9465891288,Urban,1186773.2,2024-08-12,2024-08-11,IND,POL-15714,UIN-302,Plan A,PERSONAL_ACCIDENT
POL-14678,,N,N,IF,U,I,,2024-08-01,2024-08-01,2025-07-31,,AG1086,SM1039,MEMBER-000586,MEMBER-004625,MEMBER-002708,,,1441484.12,118297.48,Y,118297.48,,,No,3,1150726.71,No,9620056025,Rural,,,,IND,POL-14678,UIN-643,Plan A,IND_HEALTH
POL-16898,POL-14608,Y,N,IF,U,I,,2024-08-01,2024-08-05,2025-08-04,,AG1102,SM1034,MEMBER-002789,MEMBER-001257,MEMBER-005931,MEMBER-003597,MEMBER-000343,381405.91,24634.91,Y,24634.91,,,No,5,234279.52,No,9103358246,Urban,383215.95,2024-08-05,2024-08-04,IND,POL-14608,UIN-300,Plan C,PERSONAL_ACCIDENT
POL-19171,,N,N,IF,S,I,,2024-08-06,2024-08-07,2025-08-06,,AG1019,SM1026,MEMBER-000513,,,,,867321.04,62792.48,Y,62792.48,,,No,1,594755.05,No,9623514728,Rural,,,,IND,POL-19171,UIN-673,Plan C,PERSONAL_ACCIDENT
POL-15938,,N,N,IF,U,G,N,2024-08-06,2024-08-10,2025-08-09,,AG1031,SM1044,MEMBER-005554,MEMBER-002404,MEMBER-002322,MEMBER-004920,MEMBER-005253,3877458.36,226308.31,Y,226308.31,,,No,5,2514959.55,No,9331592356,Rural,,,,ORG,POL-15938,UIN-850,Plan B,CRITICAL_ILLNESS
POL-16463,,N,N,IF,S,G,E,2024-08-06,2024-08-07,2025-08-06,,AG1145,SM1011,MEMBER-002974,MEMBER-001819,MEMBER-002641,,,1552410.34,122990.41,Y,122990.41,,,No,3,1049596.01,No,9905306263,Rural,,,,IND,POL-16463,UIN-477,Plan C,TERM_LIFE
POL-11823,POL-13919,Y,N,IF,S,I,,2024-08-03,2024-08-05,2025-08-04,,AG1126,SM1036,MEMBER-006793,,,,,2145239.44,91428.08,Q,68571.06,,,No,1,1386748.07,No,9557161475,Urban,2169787.05,2024-08-05,2024-08-04,IND,POL-13919,UIN-980,Plan C,FAMILY_HEALTH_OPTIMA
POL-17451,,N,N,IF,S,I,,2024-08-06,2024-08-09,2025-08-08,,AG1079,SM1041,MEMBER-000740,MEMBER-005474,MEMBER-005671,,,249392.43,9147.24,Q,6860.43,,,No,3,171102.12,No,9317113362,Rural,,,,ORG,POL-17451,UIN-546,Plan B,CRITICAL_ILLNESS
POL-18818,,N,N,IF,S,I,,2024-08-01,2024-08-05,2025-08-04,,AG1111,SM1021,MEMBER-004172,MEMBER-000944,MEMBER-000936,MEMBER-002651,MEMBER-003280,495986.4,16131.2,Y,16131.2,,,No,5,381182.01,No,9270295687,Rural,,,,IND,POL-18818,UIN-318,Plan B,PERSONAL_ACCIDENT
POL-14354,,N,N,IF,S,I,,2024-08-09,2024-08-10,2025-08-09,,AG1015,SM1004,MEMBER-001186,MEMBER-002032,MEMBER-002198,MEMBER-005000,MEMBER-004767,1823087.27,143856.75,H,143856.75,,,No,5,1281950.29,No,9690404702,Urban,,,,IND,POL-14354,UIN-955,Plan B,FAMILY_HEALTH_OPTIMA
POL-14695,,N,N,IF,S,I,,2024-08-05,2024-08-08,2025-08-07,,AG1128,SM1015,MEMBER-005469,MEMBER-001828,MEMBER-002353,MEMBER-000215,,1238234.68,98751.62,M,41146.51,,,No,4,727399.78,No,9151044085,Urban,,,,IND,POL-14695,UIN-994,Plan A,FAMILY_HEALTH_OPTIMA
POL-10092,,N,N,IF,S,I,,2024-08-10,2024-08-14,2025-08-13,,AG1109,SM1003,MEMBER-006610,MEMBER-002239,,,,1559787.84,65629.21,Y,65629.21,,,No,2,825478.21,No,9038238719,Urban,,,,DIR,POL-10092,UIN-524,Plan C,CRITICAL_ILLNESS
POL-18323,,N,N,IF,S,I,,2024-08-09,2024-08-10,2025-08-09,,AG1079,SM1001,MEMBER-006772,,,,,1022875.59,85842.63,M,35767.76,,,No,1,807005.71,No,9570410152,Rural,,,,SPP,POL-18323,UIN-646,Plan B,PERSONAL_ACCIDENT
POL-10278,,N,N,IF,U,I,,2024-08-09,2024-08-09,2025-08-08,,AG1056,SM1033,MEMBER-006260,MEMBER-006894,MEMBER-000702,MEMBER-004463,MEMBER-000363,544309.04,23411.45,Y,23411.45,,,No,5,369002.07,No,9427248975,Rural,,,,IND,POL-10278,UIN-640,Plan A,TERM_LIFE
POL-14605,,N,N,IF,S,I,,2024-08-04,2024-08-05,2025-08-04,,AG1053,SM1020,MEMBER-002995,MEMBER-003531,MEMBER-001788,MEMBER-002591,MEMBER-006791,2406061.25,187681.01,H,93840.51,,,No,5,1216238.54,No,9908559499,Rural,,,,IND,POL-14605,UIN-139,Plan C,GROUP_HEALTH
POL-12750,,N,N,IF,S,I,,2024-08-04,2024-08-07,2025-08-06,,AG1024,SM1020,MEMBER-006042,MEMBER-002479,MEMBER-006143,MEMBER-001000,MEMBER-001190,2408667.4,145826.39,M,12152.2,,,No,5,1696447.01,No,9073173675,Rural,,,,ORG,POL-12750,UIN-405,Plan B,CRITICAL_ILLNESS
POL-15332,,N,N,IF,S,I,,2024-08-01,2024-08-06,2025-08-05,,AG1139,SM1028,MEMBER-001986,MEMBER-004227,,,,2301017.98,72807.88,Y,72807.88,,,No,2,1764314.62,No,9243427274,Urban,,,,ORG,POL-15332,UIN-359,Plan B,IND_HEALTH
POL-15499,POL-18490,Y,N,CP,S,I,,2024-08-01,2024-08-03,2025-08-02,2025-07-04,AG1028,SM1033,MEMBER-005887,MEMBER-003265,MEMBER-002854,MEMBER-005518,,1927840.68,76972.1,H,76972.1,,,No,4,1399547.33,No,9306909908,Urban,2095082.11,2024-08-03,2024-08-02,IND,POL-18490,UIN-195,Plan B,CRITICAL_ILLNESS
POL-12018,POL-10710,Y,N,IF,S,I,,2024-08-12,2024-08-17,2025-08-16,,AG1136,SM1045,MEMBER-006084,,,,,1974807.01,146542.8,Q,73271.4,,,No,1,1148660.61,No,9415925409,Urban,2222403.26,2024-08-17,2024-08-16,SPP,POL-10710,UIN-737,Plan A,GROUP_HEALTH
POL-12330,,N,N,XP,S,I,,2024-08-02,2024-08-02,2025-08-01,,AG1036,SM1027,MEMBER-004504,MEMBER-004335,MEMBER-003148,MEMBER-005567,MEMBER-000220,1380892.26,74642.71,M,55982.03,,,No,5,996294.88,No,9478552336,Urban,,,,DIR,POL-12330,UIN-633,Plan A,TERM_LIFE
POL-12186,,N,N,IF,S,I,,2024-08-09,2024-08-13,2025-08-12,,AG1130,SM1027,MEMBER-004654,MEMBER-004221,MEMBER-001369,,,1991139.35,102948.52,Y,102948.52,,,No,3,1122372.67,No,9086916467,Rural,,,,ORG,POL-12186,UIN-225,Plan A,PERSONAL_ACCIDENT
POL-10485,,N,N,IF,U,I,,2024-08-06,2024-08-08,2025-08-07,,AG1037,SM1009,MEMBER-005483,MEMBER-004611,MEMBER-001441,MEMBER-006009,,2191692.86,194289.3,Y,194289.3,,,No,4,1389490.35,No,9307341128,Urban,,,,IND,POL-10485,UIN-478,Plan B,GROUP_HEALTH
POL-14270,POL-10605,Y,N,CP,S,I,,2024-08-01,2024-08-05,2025-08-04,2025-07-10,AG1015,SM1045,MEMBER-000901,MEMBER-001909,MEMBER-003554,MEMBER-005570,,986568.44,47443.25,Y,47443.25,,,No,4,580289.96,No,9228926186,Rural,972817.79,2024-08-05,2024-08-04,ORG,POL-10605,UIN-610,Plan B,IND_HEALTH
POL-13247,POL-13719,Y,N,IF,S,I,,2024-08-04,2024-08-08,2025-08-07,,AG1087,SM1044,MEMBER-005863,MEMBER-000987,,,,2494625.1,203115.26,Q,203115.26,,,No,2,1389159.75,No,9411411889,Rural,2333778.27,2024-08-08,2024-08-07,IND,POL-13719,UIN-253,Plan A,PERSONAL_ACCIDENT
POL-15566,,N,N,XP,S,I,,2024-08-07,2024-08-10,2025-08-09,,AG1140,SM1003,MEMBER-006915,MEMBER-000413,MEMBER-005150,MEMBER-006728,MEMBER-002189,1554238.61,117329.99,Q,117329.99,,,No,5,1183625.33,No,9704910923,Rural,,,,DIR,POL-15566,UIN-766,Plan C,GROUP_HEALTH
POL-11456,,N,N,IF,S,I,,2024-08-12,2024-08-16,2025-08-15,,AG1007,SM1035,MEMBER-004330,MEMBER-001045,MEMBER-006103,MEMBER-001164,MEMBER-000336,1233315.75,41016.4,M,17090.17,,,No,5,979153.37,No,9580947783,Rural,,,,IND,POL-11456,UIN-771,Plan C,GROUP_HEALTH
POL-15368,,N,N,IF,S,I,,2024-08-02,2024-08-02,2025-08-01,,AG1021,SM1012,MEMBER-000870,MEMBER-003211,MEMBER-001727,MEMBER-000316,,1656223.3,126919.05,Y,126919.05,,,No,4,1136504.74,No,9386073553,Rural,,,,IOC,POL-15368,UIN-396,Plan A,PERSONAL_ACCIDENT
POL-17729,POL-18121,Y,N,IF,U,I,,2024-08-08,2024-08-11,2025-08-10,,AG1039,SM1047,MEMBER-004144,MEMBER-001909,MEMBER-005132,MEMBER-003796,,1306503.17,97376.15,Y,97376.15,,,No,4,1040726.25,No,9828666187,Urban,1558954.76,2024-08-11,2024-08-10,SPP,POL-18121,UIN-762,Plan A,GROUP_HEALTH
POL-17620,,N,N,IF,S,I,,2024-08-05,2024-08-05,2025-08-04,,AG1066,SM1049,MEMBER-006654,MEMBER-006300,MEMBER-003611,,,1787276.74,94172.41,Y,94172.41,,,No,3,1170342.72,No,9116785267,Rural,,,,IND,POL-17620,UIN-753,Plan A,CRITICAL_ILLNESS
POL-13903,,N,N,XP,U,I,,2024-08-11,2024-08-11,2025-08-10,,AG1009,SM1014,MEMBER-003056,MEMBER-006043,MEMBER-001609,MEMBER-005266,MEMBER-000353,1893403.08,97525.53,H,97525.53,,,No,5,1241962.46,No,9658121531,Rural,,,,IND,POL-13903,UIN-608,Plan B,PERSONAL_ACCIDENT
POL-17924,,N,N,IF,S,I,,2024-08-12,2024-08-13,2025-08-12,,AG1078,SM1042,MEMBER-001470,,,,,1286129.03,63830.19,Y,63830.19,,,No,1,682194.37,No,9205896346,Rural,,,,IND,POL-17924,UIN-534,Plan B,TERM_LIFE
POL-13743,,N,N,IF,S,I,,2024-08-09,2024-08-11,2025-08-10,,AG1059,SM1036,MEMBER-001058,MEMBER-000502,MEMBER-000862,MEMBER-006327,MEMBER-004816,756162.67,54249.57,Y,54249.57,,,No,5,484094.74,No,9286618841,Rural,,,,IOC,POL-13743,UIN-639,Plan A,TERM_LIFE
POL-18959,,N,N,IF,S,I,,2024-08-11,2024-08-11,2025-08-10,,AG1059,SM1001,MEMBER-006889,MEMBER-000350,MEMBER-006353,MEMBER-004797,MEMBER-002995,445451.69,30592.45,H,15296.23,,,No,5,332067.57,No,9999961623,Urban,,,,ORG,POL-18959,UIN-931,Plan A,PERSONAL_ACCIDENT
POL-10119,,N,N,IF,S,I,,2024-08-05,2024-08-07,2025-08-06,,AG1038,SM1035,MEMBER-002983,,,,,1658457.09,76263.39,Q,38131.69,,,No,1,891744.22,No,9283153057,Urban,,,,IND,POL-10119,UIN-170,Plan C,FAMILY_HEALTH_OPTIMA
POL-14073,,N,N,IF,U,I,,2024-08-07,2024-08-07,2025-08-06,,AG1028,SM1000,MEMBER-003480,MEMBER-004847,MEMBER-005160,MEMBER-004809,MEMBER-006765,1896859.9,79762.51,H,39881.25,,,No,5,1282420.14,No,9942129018,Urban,,,,IND,POL-14073,UIN-736,Plan B,CRITICAL_ILLNESS
POL-16085,,N,N,IF,U,I,,2024-08-11,2024-08-15,2025-08-14,,AG1043,SM1044,MEMBER-005499,MEMBER-003385,,,,500075.5,32056.86,H,16028.43,,,No,2,349173.7,No,9527211007,Rural,,,,ORG,POL-16085,UIN-773,Plan C,FAMILY_HEALTH_OPTIMA
POL-12627,,N,N,CP,S,I,,2024-08-07,2024-08-12,2025-08-11,2025-08-10,AG1114,SM1001,MEMBER-004327,MEMBER-000595,MEMBER-002979,MEMBER-005277,MEMBER-003746,1673030.62,146776.32,M,85619.52,,,No,5,1087932.3,No,9892147441,Urban,,,,IND,POL-12627,UIN-996,Plan A,FAMILY_HEALTH_OPTIMA
POL-11286,,N,N,IF,S,I,,2024-08-05,2024-08-06,2025-08-05,,AG1097,SM1024,MEMBER-003263,MEMBER-006191,MEMBER-003389,MEMBER-002749,MEMBER-006999,107719.54,2347.68,Y,2347.68,,,No,5,57300.91,No,9399829650,Rural,,,,IND,POL-11286,UIN-736,Plan C,PERSONAL_ACCIDENT
POL-13659,,N,N,IF,U,I,,2024-08-11,2024-08-15,2025-08-14,,AG1002,SM1020,MEMBER-003048,MEMBER-006453,MEMBER-005399,MEMBER-001927,,628391.6,17287.34,Y,17287.34,,,No,4,334718.73,No,9291561654,Rural,,,,IOC,POL-13659,UIN-542,Plan C,PERSONAL_ACCIDENT
POL-16942,,N,N,IF,U,I,,2024-08-12,2024-08-14,2025-08-13,,AG1141,SM1048,MEMBER-005475,MEMBER-001189,MEMBER-004790,,,804260.59,54020.49,Y,54020.49,,,No,3,510849.04,No,9622217381,Rural,,,,ORG,POL-16942,UIN-614,Plan B,IND_HEALTH
POL-18279,,N,N,XP,S,I,,2024-08-03,2024-08-04,2025-08-03,,AG1006,SM1008,MEMBER-002125,MEMBER-005842,MEMBER-002097,MEMBER-002971,,597657.07,35899.95,Y,35899.95,,,No,4,322524.25,No,9795596651,Urban,,,,IND,POL-18279,UIN-629,Plan C,TERM_LIFE
POL-12754,,N,N,IF,S,G,E,2024-08-03,2024-08-08,2025-08-07,,AG1009,SM1025,MEMBER-006714,MEMBER-000647,MEMBER-003879,MEMBER-005896,MEMBER-001725,6222004.95,390960.62,Y,390960.62,,,No,5,4439670.57,No,9752832745,Urban,,,,ORG,POL-12754,UIN-220,Plan A,PERSONAL_ACCIDENT
POL-18190,,N,N,IF,S,I,,2024-08-01,2024-08-05,2025-08-04,,AG1078,SM1002,MEMBER-000933,MEMBER-002863,MEMBER-005295,MEMBER-003940,,750176.77,31707.33,H,15853.67,,,No,4,550276.38,No,9853778924,Urban,,,,IND,POL-18190,UIN-575,Plan B,PERSONAL_ACCIDENT
POL-13771,,N,N,IF,S,I,,2024-08-09,2024-08-09,2025-08-08,,AG1064,SM1041,MEMBER-000725,MEMBER-002360,MEMBER-000925,MEMBER-002272,,1732509.72,163077.38,H,163077.38,,,No,4,1117310.46,No,9096332521,Rural,,,,IOC,POL-13771,UIN-264,Plan B,PERSONAL_ACCIDENT
POL-13133,,N,N,IF,S,I,,2024-08-09,2024-08-13,2025-08-12,,AG1042,SM1021,MEMBER-005991,MEMBER-005799,MEMBER-003733,MEMBER-005275,,549753.11,30672.16,M,5112.03,,,No,4,403241.12,No,9718452633,Urban,,,,IND,POL-13133,UIN-137,Plan A,IND_HEALTH
POL-15372,,N,N,IF,S,G,E,2024-08-12,2024-08-15,2025-08-14,,AG1139,SM1049,MEMBER-000998,MEMBER-000139,,,,3325298.76,272762.95,M,45460.49,,,No,2,2454603.86,No,9267480021,Urban,,,,IND,POL-15372,UIN-792,Plan A,FAMILY_HEALTH_OPTIMA
POL-12177,,N,N,IF,S,G,E,2024-08-03,2024-08-04,2025-08-03,,AG1048,SM1024,MEMBER-003022,MEMBER-000335,MEMBER-005231,,,1631708.88,81212.65,Q,20303.16,,,No,3,881669.06,No,9940077665,Rural,,,,IND,POL-12177,UIN-866,Plan C,IND_HEALTH
POL-14105,POL-16026,N,Y,IF,S,I,,2024-08-05,2024-08-06,2025-08-05,,AG1094,SM1023,MEMBER-000809,,,,,2184699.48,97846.69,H,97846.69,2024-08-06,,No,1,1518412.13,No,9718239079,Urban,2046951.95,,2024-08-05,IND,POL-16026,UIN-838,Plan A,GROUP_HEALTH
POL-11109,POL-17804,N,Y,IF,U,I,,2024-08-10,2024-08-11,2025-08-10,,AG1125,SM1040,MEMBER-001946,MEMBER-005675,,,,656942.18,22293.19,Q,11146.59,2024-08-11,,No,2,522507.35,No,9951898212,Rural,476184.61,,2024-08-10,IND,POL-17804,UIN-616,Plan C,IND_HEALTH
POL-16317,POL-12290,Y,N,IF,S,I,,2024-08-11,2024-08-11,2025-08-10,,AG1134,SM1008,MEMBER-000494,MEMBER-000525,MEMBER-005785,,,1401965.35,112293.82,Y,112293.82,,,No,3,883719.97,No,9378711829,Rural,1353125.09,2024-08-11,2024-08-10,IND,POL-12290,UIN-687,Plan A,TERM_LIFE
POL-15149,,N,N,IF,S,I,,2024-08-01,2024-08-05,2025-08-04,,AG1074,SM1033,MEMBER-001451,MEMBER-001831,MEMBER-006280,MEMBER-005342,MEMBER-003539,1045765.68,90830.81,M,60553.87,,,No,5,612194.33,No,9872826199,Urban,,,,IND,POL-15149,UIN-995,Plan A,FAMILY_HEALTH_OPTIMA
POL-18252,,N,N,IF,U,I,,2024-08-03,2024-08-06,2025-08-05,,AG1036,SM1014,MEMBER-004501,MEMBER-003091,,,,1032521.39,62708.84,Y,62708.84,,,No,2,728677.91,No,9072361841,Rural,,,,IOC,POL-18252,UIN-672,Plan B,FAMILY_HEALTH_OPTIMA
POL-15304,,N,N,IF,U,I,,2024-08-11,2024-08-13,2025-08-12,,AG1107,SM1013,MEMBER-000311,MEMBER-001433,MEMBER-001715,,,137302.89,6394.17,Y,6394.17,,,No,3,80390.68,No,9610590410,Rural,,,,IND,POL-15304,UIN-704,Plan A,TERM_LIFE
POL-14589,,N,N,IF,U,G,N,2024-08-05,2024-08-08,2025-08-07,,AG1057,SM1036,MEMBER-006561,MEMBER-006125,MEMBER-000212,MEMBER-002098,,1148155.98,88212.64,Y,88212.64,,,No,4,696820.11,No,9129298503,Urban,,,,IND,POL-14589,UIN-649,Plan B,TERM_LIFE
POL-10939,,N,N,IF,U,I,,2024-08-09,2024-08-10,2025-08-09,,AG1113,SM1023,MEMBER-005216,MEMBER-002977,MEMBER-000750,MEMBER-000928,,986541.06,35289.25,Y,35289.25,,,No,4,720022.23,No,9519420461,Urban,,,,IND,POL-10939,UIN-191,Plan B,TERM_LIFE
POL-11791,,N,N,IF,U,I,,2024-08-09,2024-08-14,2025-08-13,,AG1137,SM1031,MEMBER-004978,MEMBER-006277,MEMBER-005773,,,285860.35,13014.19,Q,3253.55,,,No,3,165153.63,No,9544498113,Rural,,,,IND,POL-11791,UIN-842,Plan A,TERM_LIFE
POL-11767,,N,N,TM,S,I,,2024-08-04,2024-08-05,2025-08-04,2025-01-18,AG1067,SM1010,MEMBER-005345,MEMBER-005774,MEMBER-002528,MEMBER-001353,MEMBER-003839,454493.99,32662.52,Q,24496.89,,,No,5,247780.04,No,9982547802,Rural,,,,IND,POL-11767,UIN-187,Plan B,GROUP_HEALTH
POL-10156,,N,N,IF,S,I,,2024-08-12,2024-08-13,2025-08-12,,AG1136,SM1022,MEMBER-002003,MEMBER-003147,MEMBER-002283,MEMBER-002658,,2364512.75,156531.07,H,156531.07,,,No,4,1645559.51,No,9128706949,Rural,,,,IND,POL-10156,UIN-562,Plan B,IND_HEALTH
POL-16855,,N,N,IF,S,I,,2024-08-03,2024-08-04,2025-08-03,,AG1034,SM1010,MEMBER-004986,,,,,1656507.37,158966.16,M,119224.62,,,No,1,1272705.56,No,9985501616,Rural,,,,IND,POL-16855,UIN-178,Plan C,CRITICAL_ILLNESS
POL-11010,,N,N,IF,S,I,,2024-08-04,2024-08-08,2025-08-07,,AG1015,SM1016,MEMBER-006658,MEMBER-004399,MEMBER-000699,MEMBER-002928,,1431524.15,66552.39,Y,66552.39,,,No,4,841802.35,No,9972821335,Rural,,,,ORG,POL-11010,UIN-743,Plan C,PERSONAL_ACCIDENT
POL-18502,POL-19024,Y,N,IF,U,I,,2024-08-09,2024-08-10,2025-08-09,,AG1035,SM1014,MEMBER-001779,MEMBER-003869,,,,2467050.11,180417.68,H,90208.84,,,No,2,1520579.52,No,9710284076,Rural,2548314.05,2024-08-10,2024-08-09,ORG,POL-19024,UIN-802,Plan C,IND_HEALTH
POL-10887,POL-14855,N,Y,IF,S,I,,2024-08-04,2024-08-06,2025-08-05,,AG1067,SM1018,MEMBER-001802,MEMBER-006871,MEMBER-003064,MEMBER-002124,MEMBER-001698,1937907.79,96301.86,Y,96301.86,2024-08-06,,No,5,1227789.2,No,9291335297,Urban,2255273.6,,2024-08-05,IND,POL-14855,UIN-245,Plan C,GROUP_HEALTH
POL-13783,,N,N,IF,S,I,,2024-08-03,2024-08-03,2025-08-02,,AG1020,SM1032,MEMBER-004824,MEMBER-005041,MEMBER-006404,,,2128028.64,72791.57,Q,72791.57,,,No,3,1569077.63,No,9991570709,Urban,,,,DIR,POL-13783,UIN-238,Plan A,CRITICAL_ILLNESS
POL-12265,,N,N,IF,U,I,,2024-08-11,2024-08-11,2025-08-10,,AG1000,SM1026,MEMBER-003375,MEMBER-001852,MEMBER-004588,MEMBER-002647,MEMBER-005928,1801471.15,126325.55,Y,126325.55,,,No,5,925195.01,No,9400458790,Urban,,,,IND,POL-12265,UIN-737,Plan C,IND_HEALTH
POL-17962,,N,N,IF,S,G,E,2024-08-12,2024-08-13,2025-08-12,,AG1080,SM1026,MEMBER-003650,MEMBER-003728,,,,7002732.21,437903.23,Y,437903.23,,,No,2,4437802.2,No,9702745533,Urban,,,,IND,POL-17962,UIN-685,Plan B,CRITICAL_ILLNESS
POL-13822,,N,N,IF,S,I,,2024-08-05,2024-08-05,2025-08-04,,AG1057,SM1048,MEMBER-003094,MEMBER-005416,MEMBER-005367,MEMBER-003978,MEMBER-006716,445439.79,13742.87,Y,13742.87,,,No,5,330505.37,No,9947184343,Urban,,,,IND,POL-13822,UIN-115,Plan B,TERM_LIFE
POL-13805,,N,N,IF,U,I,,2024-08-06,2024-08-08,2025-08-07,,AG1076,SM1007,MEMBER-003010,MEMBER-001143,MEMBER-001493,MEMBER-006474,,2144340.08,153812.08,M,38453.02,,,No,4,1528141.91,No,9787906691,Urban,,,,IND,POL-13805,UIN-555,Plan A,IND_HEALTH
POL-17877,POL-18756,Y,N,IF,S,G,N,2024-08-05,2024-08-06,2025-08-05,,AG1095,SM1022,MEMBER-005354,MEMBER-005509,MEMBER-000761,MEMBER-003022,MEMBER-004984,8081863.63,764675.63,H,382337.82,,,No,5,6456721.84,No,9150465609,Rural,6997512.83,2024-08-06,2024-08-05,IND,POL-18756,UIN-136,Plan A,PERSONAL_ACCIDENT
POL-16770,POL-14241,Y,N,IF,S,I,,2024-08-06,2024-08-08,2025-08-07,,AG1073,SM1012,MEMBER-004676,MEMBER-005776,,,,366595.75,19703.86,Q,19703.86,,,No,2,243198.12,No,9745637166,Urban,298482.02,2024-08-08,2024-08-07,ORG,POL-14241,UIN-747,Plan C,GROUP_HEALTH
POL-19638,,N,N,IF,S,I,,2024-08-07,2024-08-09,2025-08-08,,AG1080,SM1041,MEMBER-004020,MEMBER-002797,MEMBER-001977,MEMBER-003802,,529406.97,20205.53,H,10102.76,,,No,4,323376.96,No,9715251054,Rural,,,,IOC,POL-19638,UIN-745,Plan C,PERSONAL_ACCIDENT
POL-10679,POL-10940,N,Y,IF,U,I,,2024-08-08,2024-08-11,2025-08-10,,AG1138,SM1025,MEMBER-004684,MEMBER-003592,MEMBER-005876,,,522656.09,41617.97,Q,41617.97,2024-08-11,,No,3,402527.99,No,9591413493,Urban,614418.05,,2024-08-10,DIR,POL-10940,UIN-356,Plan A,TERM_LIFE
